BenchmarkRegistryPushPopFixed-32                     	   41677	     14667 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistryPushPopFixed-32                     	   42279	     14684 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistryPushPopFixed-32                     	   39970	     14211 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistrySetTop-32                           	  152577	      3987 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistrySetTop-32                           	  156769	      3937 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistrySetTop-32                           	  155251	      3995 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewStateNoLibs-32                           	  320433	      2079 ns/op	    9354 B/op	      14 allocs/op
BenchmarkNewStateNoLibs-32                           	  266623	      1909 ns/op	    9355 B/op	      14 allocs/op
BenchmarkNewStateNoLibs-32                           	  274459	      1960 ns/op	    9354 B/op	      14 allocs/op
BenchmarkNewStateWithLibs-32                         	   56269	     14849 ns/op	   25304 B/op	     105 allocs/op
BenchmarkNewStateWithLibs-32                         	   52654	     16452 ns/op	   25304 B/op	     105 allocs/op
BenchmarkNewStateWithLibs-32                         	   51360	     12508 ns/op	   25304 B/op	     105 allocs/op
BenchmarkNewStateCoreOnly-32                         	   91184	      7907 ns/op	   15732 B/op	      58 allocs/op
BenchmarkNewStateCoreOnly-32                         	   60042	      8635 ns/op	   15732 B/op	      58 allocs/op
BenchmarkNewStateCoreOnly-32                         	   81385	      7088 ns/op	   15732 B/op	      58 allocs/op
BenchmarkNewThread-32                                	  342682	      1511 ns/op	   10552 B/op	       5 allocs/op
BenchmarkNewThread-32                                	  312955	      1975 ns/op	   10552 B/op	       5 allocs/op
BenchmarkNewThread-32                                	  409646	      1931 ns/op	   10551 B/op	       5 allocs/op
BenchmarkNewThreadEngine2Options-32                  	  791539	       826.2 ns/op	    3062 B/op	       6 allocs/op
BenchmarkNewThreadEngine2Options-32                  	  921964	       754.3 ns/op	    3061 B/op	       6 allocs/op
BenchmarkNewThreadEngine2Options-32                  	  673396	       902.1 ns/op	    3061 B/op	       6 allocs/op
BenchmarkNewStateEngine2Options-32                   	  114619	      5314 ns/op	   10317 B/op	      56 allocs/op
