BenchmarkTypeChecking-32                             	    2374	    237441 ns/op	   20002 B/op	    1207 allocs/op
BenchmarkTableConstruction-32                        	   16924	     37068 ns/op	   53902 B/op	     503 allocs/op
BenchmarkTableConstruction-32                        	   16272	     40270 ns/op	   53902 B/op	     503 allocs/op
BenchmarkTableConstruction-32                        	   15158	     39969 ns/op	   53902 B/op	     503 allocs/op
BenchmarkBitwiseAND-32                               	   37996	     16201 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseAND-32                               	   38773	     15313 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseAND-32                               	   38296	     18127 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   36387	     16554 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   36850	     17301 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseOR-32                                	   38469	     16051 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   35451	     16041 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   38456	     16441 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseXOR-32                               	   35948	     15911 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseSHL-32                               	   24616	     24100 ns/op	     264 B/op	       0 allocs/op
BenchmarkBitwiseSHL-32                               	   25125	     24041 ns/op	     264 B/op	       0 allocs/op
BenchmarkBitwiseSHL-32                               	   24570	     23947 ns/op	     264 B/op	       0 allocs/op
BenchmarkBitwiseSHR-32                               	   37059	     17027 ns/op	     120 B/op	       0 allocs/op
BenchmarkBitwiseSHR-32                               	   36798	     16211 ns/op	     120 B/op	       0 allocs/op
BenchmarkBitwiseSHR-32                               	   37726	     15948 ns/op	     120 B/op	       0 allocs/op
BenchmarkBitwiseNOT-32                               	   44979	     14317 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseNOT-32                               	   43816	     13861 ns/op	       0 B/op	       0 allocs/op
BenchmarkBitwiseNOT-32                               	   43171	     13818 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntegerDiv-32                               	   32774	     16740 ns/op	      24 B/op	       0 allocs/op
BenchmarkIntegerDiv-32                               	   34838	     16983 ns/op	      24 B/op	       0 allocs/op
BenchmarkIntegerDiv-32                               	   35629	     16922 ns/op	      24 B/op	       0 allocs/op
BenchmarkFloatAdd-32                                 	   33370	     17098 ns/op	    7320 B/op	      14 allocs/op
